name,prompt,negative_prompt
SDXL PP Basic Isometry,"(((Isometric))) {prompt} (((, ( blank background, grey background:1.4), in the style of a cartoon game)))","(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), low poly, minecraft, cubism "
SDXL PP Basic Isometry_ClassName,"(((Isometric))) {prompt} (((, ( blank background, grey background:1.4), in PH_Style)))","(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), low poly, minecraft, cubism"
SDXL FD Basic Isometry_ClassName,"(((Isometric))) {prompt} (((, ( blank background, grey background:1.4), in FD_Style)))","(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), low poly, minecraft, cubism"
SDXL PP Basic UI,Icon of {prompt} in the style of mobile game interface,"((deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark, Poor quality, fuzziness, blurring, outlining, artifacts, jpeg artifacts, multiple objects, multiple objects, tiles))"
FD_Pixar_D&D_Cinematic,"epic realistic, (((Image of isometric))) , {prompt}, pixar style, 4k textures, hdr, intricate, highly detailed, sharp focus, cinematic look, hyper detailed, sunset lighting, <lora:dungeons_and_dragons_xl_v3:0.75> dungeons and dragons (((, ( blank background, grey background:1.4), in the style of a cartoon game))), faded, (neutral colors:1.2), art, (hdr:1.5), (muted colors:1.1), (pastel:0.2), hyperdetailed, (artstation:1.4), warm lights, dramatic light, (intricate details:1.2), vignette, complex background, rutkowski (Single Object, isolated object:1.2)","(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), many object, creatures, peoples, photograph, realism, anime"
FD_Pixar_Cinematic_NoLora,"(((Image of isometric))) , {prompt}, pixar style, 4k textures, hdr, intricate, highly detailed, sharp focus, cinematic look, hyper detailed, sunset lighting, pixar style (((, ( blank background, grey background:1.4), in the style of a cartoon game))), (cinematic look:1.4), soothing tones, insane details, intricate details, hyperdetailed, low contrast, soft cinematic light, dim colors, exposure blend, hdr, faded, slate gray atmosphere (Single Object, isolated object:1.2)","black and white, b&w, (deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), many object, creatures, peoples, photograph, realism, anime"
Anime,"(anime), (illustration), cartoon, detailed, {prompt}",
Hentai,"(ahegao), (anime, hentai painting), naked nao tomori, ({prompt}:1.15), intricate, glossy, realism, art by rossdraws, soft light, (muted colors), warm, dramatic, (cum dripping)",
illustration,"illustration, cartoon, soothing tones, calm colors, {prompt}",
Caricature,"big head, big eyes, caricature, a caricature, digital rendering, (figurativism:0.8)",
3d (render) 👎,"eevee, 3d, render, 3 point light, (glossy:0.76), ambient occlusion",
3d (render) 👍,"epic realistic, hyperdetailed, (cycles render:1.3), caustics, (glossy:0.58), (artstation:0.82)",
3d (movie),"epic realistic, pixar style, disney, (cycles render:1.3), caustics, (glossy:0.58), (artstation:0.2), cute",
8bit,"pixel art, 8bit, aliasing, contrast, complex stuff","fabric, realistic, material, grain, grainy"
Logo,"(logo:1.3), vector graphics, brand, design, inspired, (straight:1.3), (symmetrical:0.4)",
Engraving,"(grayscale, woodcut:1.2), (etching:1.1), (engraving:0.2), {prompt}, detailed",colored
Comic book,"neutral palette, comic style, muted colors, illustration, cartoon, soothing tones, low saturation, {prompt}",
Cinematic,"(cinematic look:1.4), soothing tones, insane details, intricate details, hyperdetailed, low contrast, soft cinematic light, dim colors, exposure blend, hdr, faded, slate gray atmosphere","black and white, b&w, {prompt}"
Cinematic (horror),"slate atmosphere, cinematic, dimmed colors, dark shot, muted colors, film grainy, lut, spooky",
Cinematic (art),"art by greg rutkowski and artgerm, soft cinematic light, adobe lightroom, photolab, hdr, intricate, highly detailed, (depth of field:1.4)",
Gloomy,"complex background, stuff in the background, highly detailed, (gloomy:1.3), dark, dimmed, hdr, vignette, grimy, (slate atmosphere:0.8)","(depth of field:1.3), (bokeh:1.2), (blur), blurred, pink"
Professional photo,"lightroom, natural, perfect, [oliver wetter|(kodak portra:0.08)|(leibovitz:0.6)], raw, intricate, high quality, mamiya, exposure blend","lowers, jpeg artifacts, low quality"
Painting,"rutkowski, intricate digital art, soothing tones, (cartoon:0.3), (art:1.4), epic realistic, faded, neutral colors, (hdr:1.4), (muted colors:1.4), (intricate), (artstation:1.99), dramatic, intricate details, (technicolor:0.9), detailed, intricate, cinematic, detailed",
Painting (vivid),"(pascal campion:0.38), vivid colors, (painting art:0.06), [eclectic:clear:17]","vignette, cinematic, grayscale, bokeh, blurred, depth of field"
Midjourney (warm),"epic realistic, {prompt}, faded, (neutral colors:1.2), art, (hdr:1.5), (muted colors:1.1), (pastel:0.2), hyperdetailed, (artstation:1.4), warm lights, dramatic light, (intricate details:1.2), vignette, complex background, rutkowski",
Midjourney,"(dark shot:1.1), epic realistic, {prompt}, faded, (neutral colors:1.2), (hdr:1.4), (muted colors:1.2), hyperdetailed, (artstation:1.4), cinematic, warm lights, dramatic light, (intricate details:1.1), complex background, (rutkowski:0.66), (teal and orange:0.4)",
XpucT,"epic realistic, {prompt}, (dark shot:1.22), neutral colors, (hdr:1.4), (muted colors:1.4), (intricate), (artstation:1.2), hyperdetailed, dramatic, intricate details, (technicolor:0.9), (rutkowski:0.8), cinematic, detailed",
+ Details,"(intricate details:1.12), hdr, (intricate details, hyperdetailed:1.15)",
+ Natural Skin,"(natural skin texture, hyperrealism, soft light, sharp:1.2)",
+ Basic Negative,,"(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark)"
+ Negative for iso objects,,"many object, creatures, peoples, photograph, realism, anime "
+ Negative for iso trees,,"detached branchs, Flying branches, torn off entities, not a consistent look, a pathetic look "
SDXL PP Basic CharacterConcept,"(((Character concept, amazing draw quality, very detailed))) {prompt} (((, ( blank background, grey background:1.4), in the style of a cartoon game)))","grotesque, unsightly, misshapen, mangled, awkward, distorted, twisted, contorted, lopsided, malformed, irregular, unnatural, botched, disfigured, repulsive, revolting, ghastly, hideous, unappealing, terrible, awful, frightful, odious, loathsome, obnoxious, detestable, hateful, repugnant, sickening, vile, abhorrent, contemptible, execrable, repellent, disgusting, distasteful, abominable, tiling, out of frame, body out of frame, blurry, bad anatomy, blurred, watermark, grainy, signature, cut off, draft, gross, weird, uneven, text, poor, low, basic, worst, unprofessional, failure, crayon, label, mutation, mutated, (mutated hands and fingers:1.5), (long body :1.3), (mutation, poorly drawn :1.2), black-white, text font ui, error, malformed hands, long neck, lowers, low res, bad proportions, bad shadow, uncoordinated body, unnatural body, bad breasts, missing breasts, bad hands, missing fingers, extra digit, fewer digits, username, JPEG artifacts, poorly drawn eyes, different nipples, ((missing arms)), missing thighs, missing calf, missing legs, morbid, (blurry), extra arms, extra legs, (different eyes), bad eyes, ugly eyes, obesity, worst quality, low quality, normal quality, QR code, bar code, pubic hair, mosaic, (poorly drawn eyes), garter straps, garter belt, flat chest, small breasts, small boobs, fat:0.6, overweight:0.6, pink hair, purple hair, signature, watermark, text, poorly drawn face, (poorly drawn hands), mutilated, (ugly), bad eyes, (((deformed))), (bad vagina), bad cameltoe, (bad nipples), poorly drawn vagina, (glasses:1.4), low poly, minecraft, cubism"
